0.001,16,16,500,1,0.7,0.68,0.56
0.001,16,16,500,1,0.8,0.71,0.56
0.001,16,16,500,1,0.9,0.74,0.57
0.001,16,16,700,1,0.7,0.69,0.56
0.001,16,16,700,1,0.8,0.73,0.57
0.001,16,16,700,1,0.9,0.75,0.56
0.001,16,16,1000,1,0.7,0.71,0.57
0.001,16,16,1000,1,0.8,0.74,0.57
0.001,16,16,1000,1,0.9,0.76,0.57
1e-05,16,16,500,1,0.7,0.71,0.56
1e-05,16,16,500,1,0.8,0.73,0.56
1e-05,16,16,500,1,0.9,0.77,0.56
1e-05,16,16,700,1,0.7,0.73,0.57
1e-05,16,16,700,1,0.8,0.76,0.56
1e-05,16,16,700,1,0.9,0.79,0.56
1e-05,16,16,1000,1,0.7,0.74,0.57
1e-05,16,16,1000,1,0.8,0.77,0.56
1e-05,16,16,1000,1,0.9,0.81,0.57
1e-06,16,16,500,1,0.7,0.71,0.56
1e-06,16,16,500,1,0.8,0.74,0.57
1e-06,16,16,500,1,0.9,0.77,0.56
1e-06,16,16,700,1,0.7,0.73,0.56
1e-06,16,16,700,1,0.8,0.76,0.57
1e-06,16,16,700,1,0.9,0.79,0.57
1e-06,16,16,1000,1,0.7,0.75,0.57
1e-06,16,16,1000,1,0.8,0.78,0.56
1e-06,16,16,1000,1,0.9,0.81,0.57
0,16,16,500,1,0.7,0.7,0.56
0,16,16,500,1,0.8,0.74,0.57
0,16,16,500,1,0.9,0.77,0.57
0,16,16,700,1,0.7,0.72,0.56
0,16,16,700,1,0.8,0.76,0.57
0,16,16,700,1,0.9,0.79,0.56
0,16,16,1000,1,0.7,0.75,0.57
0,16,16,1000,1,0.8,0.78,0.57
0,16,16,1000,1,0.9,0.81,0.57
